Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.68170,17.87639,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.68191,17.87463,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.66909,17.85870,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.67066,17.85879,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.65137,17.89030,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,42.65135,17.89068,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.24184,16.47545,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.24397,16.46693,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.25110,16.48356,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.25566,16.47517,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.24622,16.45505,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Croatia,43.24378,16.45423,Aquaculture/fisheries,15,Class 3,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.60559,20.03897,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.60178,20.04584,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.37955,19.94498,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.37998,19.94448,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.41410,19.86145,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.42083,19.84572,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.38461,19.85608,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.37136,19.87578,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.32264,20.02028,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.31134,20.03808,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.50233,19.94186,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.50912,19.94053,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.48314,20.07428,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.48696,20.07702,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.58831,20.08128,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.59323,20.08449,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.53051,20.09734,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.50083,20.10451,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.86193,19.87780,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.56128,20.05798,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.57839,20.06134,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.69208,19.90213,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.69051,19.90360,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.71312,19.90879,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.71498,19.91794,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.58902,19.97173,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.57995,19.95991,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.92660,19.71008,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.92929,19.50863,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.93331,19.50092,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.95758,19.42035,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.95817,19.42148,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.83292,19.56948,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.83198,19.57039,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.10272,12.88498,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.23724,12.87402,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.21328,12.91174,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.16868,12.96077,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.30639,12.59383,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.39374,12.60332,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.44840,12.57731,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
